price,bed,full_bath,half_bath,property_area,years_old,distance_downtown,lot_size,basement,garage,walk_score,bike_score,transit_score,house,condo,townhouse
588800,4.0,2.0,1.0,1212.0,5.0,11.08,5597.0,1.0,1.0,40,63,52,1,0,0
514900,6.0,2.0,1.0,1225.0,16.0,11.08,6426.0,1.0,1.0,40,63,52,1,0,0
379900,3.0,2.0,0.0,1009.0,30.0,11.19,5296.0,1.0,1.0,38,58,48,1,0,0
219950,1.0,2.0,1.0,1167.0,0.0,1.44,1167.0,0.0,0.0,85,81,52,0,0,1
165000,1.0,1.0,0.0,536.0,32.0,1.67,536.0,0.0,0.0,65,82,76,0,1,0
129900,1.0,1.0,0.0,495.0,17.0,4.73,495.0,0.0,0.0,73,82,59,0,1,0
179900,2.0,1.0,0.0,865.0,17.0,4.74,865.0,0.0,0.0,73,82,59,0,1,0
499900,3.0,3.0,0.0,1430.0,18.0,18.68,4467.0,1.0,1.0,26,67,36,1,0,0
439900,3.0,2.0,1.0,1771.0,0.0,13.93,3229.0,1.0,1.0,39,61,41,1,0,0
338888,4.0,2.0,0.0,1024.0,45.0,8.46,5404.0,1.0,1.0,40,51,53,1,0,0
559900,4.0,3.0,1.0,2032.0,1.0,14.36,4564.0,1.0,1.0,27,74,32,1,0,0
199900,2.0,1.0,0.0,730.0,31.0,1.13,730.0,0.0,0.0,90,99,76,0,1,0
535000,3.0,2.0,0.0,1160.0,18.0,1.14,2142.0,1.0,0.0,93,99,76,1,0,0
279900,2.0,2.0,0.0,838.0,18.0,3.01,838.0,0.0,0.0,81,82,55,0,1,0
200000,1.0,1.0,0.0,603.0,25.0,1.92,603.0,0.0,0.0,79,91,66,0,1,0
285000,2.0,2.0,0.0,981.0,55.0,3.84,981.0,0.0,0.0,64,78,54,0,1,0
219900,2.0,1.0,0.0,789.0,6.0,0.87,789.0,0.0,1.0,95,97,71,0,1,0
239900,2.0,1.0,0.0,901.0,41.0,0.87,901.0,0.0,1.0,95,97,71,0,1,0
250000,2.0,1.0,0.0,832.0,2.0,0.86,832.0,0.0,1.0,95,97,71,0,1,0
459900,4.0,2.0,1.0,1837.0,42.0,11.89,5059.0,1.0,1.0,72,72,52,1,0,0
614900,3.0,3.0,1.0,2216.0,12.0,13.02,4478.0,1.0,1.0,41,56,53,1,0,0
749900,3.0,2.0,2.0,2394.0,110.0,13.0,5307.0,1.0,1.0,41,56,53,1,0,0
345000,4.0,2.0,0.0,886.0,51.0,15.22,3649.0,1.0,1.0,59,72,60,1,0,0
300000,1.0,1.0,0.0,585.0,10.0,2.82,585.0,0.0,0.0,56,81,42,0,1,0
639900,4.0,4.0,0.0,2034.0,20.0,9.44,8912.0,1.0,1.0,52,55,43,1,0,0
459000,3.0,2.0,1.0,1874.0,5.0,16.86,4629.0,1.0,1.0,40,64,21,1,0,0
519900,3.0,3.0,1.0,1932.0,1.0,13.55,3983.0,1.0,1.0,39,60,40,1,0,0
559000,2.0,1.0,0.0,926.0,40.0,2.3,2777.0,1.0,0.0,54,75,60,1,0,0
324900,2.0,2.0,0.0,907.0,6.0,2.66,907.0,0.0,0.0,53,90,54,0,1,0
179000,1.0,1.0,0.0,564.0,45.0,14.55,564.0,0.0,0.0,0,33,0,0,1,0
445000,3.0,2.0,1.0,1550.0,1.0,3.82,1550.0,0.0,1.0,65,83,51,0,0,1
389900,3.0,2.0,0.0,1110.0,15.0,7.85,1110.0,0.0,0.0,64,88,58,0,1,0
294900,2.0,1.0,0.0,804.0,15.0,7.85,804.0,0.0,0.0,64,88,58,0,1,0
290000,2.0,2.0,0.0,1285.0,2.0,5.57,1285.0,0.0,0.0,50,79,56,0,1,0
197800,1.0,1.0,0.0,714.0,13.0,4.67,714.0,0.0,0.0,67,77,58,0,1,0
229900,2.0,2.0,0.0,1054.0,9.0,12.52,1054.0,0.0,1.0,75,77,51,0,1,0
849000,4.0,2.0,1.0,1761.0,49.0,12.07,5780.0,1.0,1.0,3,27,37,1,0,0
409900,2.0,3.0,1.0,1445.0,14.0,11.8,4026.0,1.0,1.0,23,61,39,1,0,0
421000,5.0,3.0,0.0,1023.0,22.0,13.18,4252.0,1.0,1.0,25,69,50,1,0,0
189900,1.0,1.0,0.0,693.0,6.0,2.26,693.0,0.0,0.0,65,77,49,0,1,0
479000,2.0,2.0,0.0,1344.0,2.0,2.26,1344.0,0.0,0.0,65,77,49,0,1,0
314895,2.0,2.0,0.0,721.0,26.0,13.43,721.0,0.0,0.0,9,60,37,0,1,0
